"Metropolitan Statistical Area","Indianapolis - Carmel - Anderson, IN",2048703
"Metropolitan Statistical Area","San Juan - Bayamón - Caguas, PR",2023237
"Metropolitan Statistical Area","San Jose - Sunnyvale - Santa Clara, CA",1999107
"Metropolitan Statistical Area","Nashville-Davidson - Murfreesboro - Franklin, TN",1905898
"Metropolitan Statistical Area","Virginia Beach - Norfolk - Newport News (Hampton Roads), VA-NC",1765042
"Metropolitan Statistical Area","Providence - Warwick, RI-MA",1621337
"Metropolitan Statistical Area","Milwaukee - Waukesha, WI",1576113
"Metropolitan Statistical Area","Jacksonville, FL",1534701
"Metropolitan Statistical Area","Oklahoma City, OK",1396445
"Metropolitan Statistical Area","Raleigh - Cary, NC",1362540
"Metropolitan Statistical Area","Memphis, TN-MS-AR",1342349
"Metropolitan Statistical Area","Richmond, VA",1282442
"Metropolitan Statistical Area","New Orleans - Metairie, LA",1270399
"Metropolitan Statistical Area","Louisville/Jefferson County, KY-IN",1264908
"Metropolitan Statistical Area","Salt Lake City, UT",1222540
"Metropolitan Statistical Area","Hartford - East Hartford - Middletown, CT",1206300
"Metropolitan Statistical Area","Buffalo - Cheektowaga, NY",1130152
"Metropolitan Statistical Area","Birmingham - Hoover, AL",1088090
"Metropolitan Statistical Area","Grand Rapids - Kentwood, MI",1072458
"Metropolitan Statistical Area","Rochester, NY",1071082
"Metropolitan Statistical Area","Tucson, AZ",1039073
"Metropolitan Statistical Area","Fresno, CA",994400
"Metropolitan Statistical Area","Tulsa, OK",993797
"Metropolitan Statistical Area","Honolulu, HI",980080
"Metropolitan Statistical Area","Worcester, MA-CT",947866
"Metropolitan Statistical Area","Bridgeport - Stamford - Norwalk, CT",943823
"Metropolitan Statistical Area","Omaha - Council Bluffs, NE-IA",942198
"Metropolitan Statistical Area","Albuquerque, NM",915927
"Metropolitan Statistical Area","Greenville - Anderson, SC",906626
"Metropolitan Statistical Area","Bakersfield, CA",896764
"Metropolitan Statistical Area","Albany - Schenectady - Troy (Capital District), NY",883169
"Metropolitan Statistical Area","McAllen - Edinburg - Mission, TX",865939
"Metropolitan Statistical Area","Knoxville, TN",860164
"Metropolitan Statistical Area","New Haven - Milford, CT",857620
"Metropolitan Statistical Area","Baton Rouge, LA",853610
"Metropolitan Statistical Area","Oxnard - Thousand Oaks - Ventura, CA",850967
"Metropolitan Statistical Area","El Paso, TX",845553
"Metropolitan Statistical Area","Allentown - Bethlehem - Easton (Lehigh Valley), PA-NJ",842913
"Metropolitan Statistical Area","Columbia, SC",832666
"Metropolitan Statistical Area","North Port - Sarasota - Bradenton, FL",821573
"Metropolitan Statistical Area","Dayton - Kettering, OH",806548
